,State,Unemployment_Perc,Violent_Crimes_Perc,Injury_Deaths_Perc,Homicides_Perc,Firearms_Fatalities_Perc
0,AK,7.160695285926138,0.7814822717894095,0.09111594731466104,0.007155615556717113,0.022574990811681885
1,AL,4.396785166164925,0.4793082683580386,0.07990897905179647,0.009560982999457084,0.019831004149665567
2,AR,3.6798368422296264,0.5205088561361678,0.08058954626373639,0.008028609632420872,0.018040038468398665
3,AZ,4.869531723317478,0.4106956134177965,0.08077398652831348,0.005706760669955882,0.014850475892448957
4,CA,4.75810326864803,0.41940618789127376,0.048930677375932964,0.00496338804812236,0.007907741761492707
5,CO,2.835170321761771,0.326669119600461,0.07567418569461558,0.003850505099005815,0.01308856788395118
6,CT,4.676332863540459,0.24682336165430763,0.06494215963547258,0.003176835692505395,0.004997693650739437
7,DC,6.051724395974997,1.2264348765692359,0.07238915838879093,0.016163262858755457,0.014436074437649285
8,DE,4.592437414894731,0.4992109357576156,0.07207759047770942,0.006263818594924656,0.01135280296680936
9,FL,4.1528204994164515,0.4645957421733782,0.07560040802940017,0.005923192938310665,0.012678047731285527
10,GA,4.737530804145009,0.38643266370906476,0.06316125598138807,0.007095521815002479,0.014311894944985828
11,HI,2.3601621781713082,0.2640705287639481,0.05519546859968463,0.002060817153972059,0.0033468844654076287
12,IA,3.1290976171937137,0.2837163485028105,0.06680620144604693,0.002596201187914489,0.00861620024451681
13,ID,3.155973781805398,0.2178231406366732,0.07345621716572179,0.002114415478391944,0.014560248009557762
14,IL,4.958082220179893,0.40607033055132674,0.059226542060544944,0.007290564042730798,0.010239707854995525
15,IN,3.5255210414836453,0.4005314331311832,0.0740888318868371,0.006532382555209429,0.013772230880158855
16,KS,3.6228243206781765,0.3670333693910424,0.07258194334877957,0.004809571595288657,0.012665497980984852
17,KY,4.887315859585048,0.22338502185475106,0.0905491238940625,0.005839819856946398,0.015680395968143482
18,LA,5.127864028306291,0.5447117984012375,0.08388859769244585,0.012567133257781398,0.020333676056722216
19,MA,3.710298558558362,0.386453299162186,0.0593789829075126,0.0022355439878321516,0.003403401080916045
20,MD,4.137711250423596,0.46044919749710955,0.06979262278234809,0.008080192188090678,0.010950217072392394
21,ME,3.2790936177871224,0.12363013081010893,0.08193709941465988,0.001814428385272932,0.010969023028186631
22,MI,4.638663046823378,0.4441710881490811,0.07207969997432016,0.0067542177436450985,0.011747482288933605
23,MN,3.4523999153938765,0.23379859376479692,0.06360758681321402,0.002338830171614067,0.00766024256798513
24,MO,3.756254660777356,0.48378330664152075,0.08304832521020157,0.00860778887472479,0.01781649948046189
25,MS,5.074600747921421,0.2806380255511931,0.08497655459292874,0.011007997779484795,0.019303208694950405
26,MT,4.030206087272601,0.3255242661003544,0.09251211787017627,0.0033304338324827874,0.019318661532420206
27,NC,4.550416030752158,0.34367991065405923,0.07142568188145454,0.006096259380949154,0.013055473416157792
28,ND,2.60397437289608,0.2409545023959932,0.06912037436018187,0.002166062245047705,0.012437608838568797
29,NE,2.9365822559807593,0.28273783459331425,0.05812422491954575,0.0038879511212106953,0.008827192195747756
30,NH,2.671351320941235,0.19814814137736145,0.08022864111424997,0.0014311477577753549,0.009221337634621768
31,NJ,4.6278943011221685,0.2517468893302355,0.0528788950163636,0.00436844152025572,0.00539046932840831
32,NM,6.152186167397469,0.6369986120657012,0.10123916643781322,0.007294814673669025,0.01757666353939646
33,NV,5.029693387069432,0.6551229934587198,0.07413937815635491,0.005999600297930129,0.01572389999432772
34,NY,4.693334157676177,0.38032657432631695,0.047280113938727664,0.003537481477991796,0.004307265873195229
35,OH,4.997429079977412,0.2997020905503928,0.08211519396198293,0.0059893994067859915,0.012089050992391171
36,OK,4.291181473243491,0.428852240717358,0.09313452460303694,0.007475916846854049,0.017473955974060908
37,OR,4.124783872902533,0.254331788440413,0.07219734198166519,0.0028601294418876093,0.012327698326370807
38,PA,4.912424603757427,0.3155884243315109,0.0814235054757241,0.005474263082696602,0.011752975549922407
39,RI,4.469601087516992,0.229352258643805,0.07592279439830713,0.002609138809735577,0.004450800761116021
40,SC,4.270286748347679,0.5005745640025012,0.08051384797758826,0.007989643565818973,0.016941152651947643
41,SD,3.32899807110123,0.33461231338319536,0.07990085866742537,0.003778953181208119,0.011375948316211717
42,TN,3.7064211808715415,0.6235749138345565,0.08555770492342563,0.007511098227466455,0.016723868193345606
43,TX,4.267856840806504,0.42063852062745755,0.05579034728635036,0.005387399430163433,0.011481665453268296
44,UT,3.2443860716917063,0.22863925231200372,0.06670756622746125,0.0020964503928889043,0.012114298676623671
45,VA,3.751905283444428,0.2078972454555973,0.060142576397599276,0.004696531474338889,0.011444775046819256
46,VT,3.0125129799687898,0.1233115586804784,0.07984051082579133,0.0019430028933079449,0.011357701654160982
47,WA,4.759873289838353,0.2913533493816489,0.06440251317190207,0.0030580397606576964,0.009982005657300308
48,WI,3.2891115401271924,0.2973755150073861,0.07708919893204574,0.003939163619342148,0.010282064922910547
49,WV,5.202020461408878,0.33546147747054456,0.11383560411874355,0.005506989577364393,0.016612681958515826
50,WY,4.20290102098212,0.2085887244834762,0.09078963332503924,0.003925190528569025,0.018215189419681622
