State,Unemployment_Num,Unemployment_Den,Unemployment_Perc,Uninsured_Num,Uninsured_Den,Uninsured_Perc,Uninsured_Adults_Num,Uninsured_Adults_Den,Uninsured_Adults_Perc,Uninsured_Children_Num,Uninsured_Children_Den,Uninsured_Children_Perc,Diabetes_Prevalence_Num,Diabetes_Prevalence_Den,Diabetes_Prevalence_Perc,HIV_Prevalence_Num,HIV_Prevalence_Den,HIV_Prevalence_Perc,Adult_Obesity_Num,Adult_Obesity_Den,Adult_Obesity_Perc,Violent_Crimes_Num,Violent_Crimes_Den,Violent_Crimes_Perc,Injury_Deaths_Num,Injury_Deaths_Den,Injury_Deaths_Perc,Homicides_Num,Homicides_Den,Homicides_Perc,Firearms_Fatality_Num,Firearms_Fatality_Den,Firearms_Fatalities_Perc,Drugs_Overdose_Death_Num,Drugs_Overdose_Death_Den,Drugs_Overdose_Deaths_Perc,Premature_Deaths_Num,Premature_Deaths_Den,Premature_Deaths_Perc,Low_Birth_Weight_Num,Low_Birth_Weight_Den,Low_Birth_Weight_Perc
GA,479572.0,10122826.0,0.047375308041450084,2591988.0,17413296.0,0.14885108482621556,2277186.0,12479156.0,0.18247916766165917,345824.0,5187896.0,0.06665977883905151,1726306.0,14832933.08618101,0.11638332014106502,93314.0,16808986.0,0.005551435404848335,4495938.0,14842689.452307,0.30290588605565655,78151.0,20223704.5,0.0038643266370906476,64475.0,102079984.0,0.0006316125598138808,9357.0,131871908.0,7.095521815002479e-05,14399.0,100608620.0,0.00014311894944985827,8145.0,58190014.0,0.0001399724701905038,258224.0,58804810.0,0.004391205413298674,173467.0,1819616.0,0.09533165239259273
HI,32354.0,1370838.0,0.023601621781713083,97282.0,2311312.0,0.042089514526814205,83800.0,1698736.0,0.049330796545195954,15084.0,640752.0,0.023541089220166303,212646.0,2163132.5874573,0.09830465373828945,5258.0,2332111.0,0.002254609664805835,500872.0,2169069.13601825,0.2309156456485515,7525.0,2849617.5,0.0026407052876394814,7850.0,14222182.0,0.0005519546859968464,397.0,19264203.0,2.060817153972059e-05,476.0,14222182.0,3.346884465407629e-05,1126.0,8575131.0,0.00013130994733491535,27834.0,7940765.0,0.0035052038437102724,21364.0,258726.0,0.08257384259796077
IA,105048.0,3357134.0,0.031290976171937136,253492.0,5090078.0,0.049801201474712176,218014.0,3654888.0,0.05964998106645129,38772.0,1507162.0,0.025725170884085453,441196.0,4596953.3601060035,0.09597573989522187,4726.0,4849300.0,0.0009745736498051265,1483396.0,4603101.957738002,0.3222600788814488,17412.0,6137115.5,0.0028371634850281047,20846.0,31203690.0,0.0006680620144604693,843.0,32470519.0,2.5962011879144895e-05,2313.0,26844780.0,8.616200244516811e-05,1703.0,15407343.0,0.00011053171205444053,68420.0,17408334.0,0.003930301429189031,36320.0,545812.0,0.06654305878214477
ID,52608.0,1666934.0,0.03155973781805398,330328.0,2804290.0,0.11779380877156072,291118.0,1942614.0,0.14985890145957972,42904.0,903724.0,0.0474746714704932,200878.0,2354607.7522065993,0.08531272345117738,1684.0,2482153.0,0.0006784432708217422,666576.0,2351501.0698891995,0.28346829543709645,7223.5,3316222.5,0.002178231406366732,12189.0,16593558.0,0.0007345621716572179,408.0,19296113.0,2.1144154783919436e-05,2352.0,16153571.0,0.00014560248009557762,1276.0,8989749.0,0.00014193944680769173,34782.0,9498513.0,0.0036618363316447532,20898.0,315749.0,0.0661854827727087
IL,643816.0,12985182.0,0.04958082220179894,1602534.0,21384232.0,0.07493998381611273,1460646.0,15621982.0,0.09349940359680353,159448.0,6067684.0,0.02627823070548829,1780532.0,19056011.162364997,0.09343676306804925,67953.0,21217874.0,0.003202630009019754,5484516.0,19106515.349627,0.28704951686059643,102750.0,25303498.5,0.004060703305513267,76078.0,128452544.0,0.0005922654206054495,12377.0,169767386.0,7.290564042730798e-05,12876.0,125745775.0,0.00010239707854995525,13863.0,75253237.0,0.00018421798918762792,282430.0,72090558.0,0.0039177113873913975,181402.0,2194444.0,0.08266421927376592
IN,234124.0,6640834.0,0.03525521041483645,1036870.0,10964428.0,0.09456672067161187,861032.0,7880366.0,0.1092629454012669,189460.0,3243336.0,0.05841516265968127,1111396.0,9703852.766413998,0.11453141620683409,20959.0,10846625.0,0.0019323061320917797,3178386.0,9701759.322019001,0.3276092401907324,48618.5,12138498.0,0.0040053143313118315,49028.0,66174616.0,0.0007408883188683709,5188.0,79419721.0,6.53238255520943e-05,8995.0,65312585.0,0.00013772230880158856,9130.0,38548840.0,0.00023684240563399573,178462.0,37337970.0,0.004779638528822001,93892.0,1166056.0,0.08052100413702258
KS,107148.0,2957582.0,0.03622824320678176,478964.0,4818204.0,0.09940716499342908,418044.0,3408950.0,0.12263130876076211,66664.0,1479312.0,0.04506419200276886,414774.0,4214116.962154499,0.09842489036847797,5545.0,4422519.0,0.0012538103284576052,1398726.0,4212393.619719598,0.33205016583732916,21091.0,5746344.0,0.003670333693910424,21052.0,29004459.0,0.0007258194334877958,1633.0,33953128.0,4.809571595288658e-05,3402.0,26860373.0,0.00012665497980984851,1748.0,15011306.0,0.0001164455644299037,67249.0,16293369.0,0.0041273845820345685,38382.0,542225.0,0.0707861127760616
KY,200612.0,4104748.0,0.048873158595850466,437800.0,7265814.0,0.06025477668434672,375652.0,5292298.0,0.07098088580801762,67848.0,2074108.0,0.03271189349831349,861976.0,6599825.306209999,0.13060588121763428,11793.0,7199407.0,0.0016380515784147221,2254328.0,6597130.984311997,0.3417133910726952,19752.5,8842356.5,0.0022338502185475103,40068.0,44250014.0,0.000905491238940625,2922.0,50035790.0,5.839819856946398e-05,6721.0,42862438.0,0.00015680395968143483,8351.0,25731841.0,0.0003245395461599502,146600.0,24954740.0,0.005874635440000577,68698.0,778174.0,0.08828102712246876
LA,216634.0,4224644.0,0.05127864028306291,920488.0,7779892.0,0.11831629539330366,853602.0,5595764.0,0.152544317451558,74570.0,2295458.0,0.0324858917044006,834654.0,6872065.835758002,0.12145605411068303,38792.0,7714861.0,0.005028217617919493,2423672.0,6875160.919499,0.3525258577040864,50393.5,9251406.0,0.005447117984012376,39112.0,46623738.0,0.0008388859769244585,7921.0,63029490.0,0.00012567133257781397,9400.0,46228729.0,0.00020333676056722216,5776.0,26552402.0,0.00021753210877117633,141214.0,26432204.0,0.005342498113286354,94556.0,881822.0,0.10722798932210809
MA,271384.0,7314344.0,0.037102985585583614,330834.0,11091326.0,0.02982817383602285,305372.0,8370680.0,0.0364811460956577,28600.0,2871782.0,0.009958973208969204,970038.0,10390596.626162,0.09335729553369307,39176.0,11621889.0,0.0033708805857636396,2538562.0,10385617.922303,0.24443052103317472,51739.5,13388293.0,0.0038645329916218597,40264.0,67808504.0,0.000593789829075126,2067.0,92460717.0,2.2355439878321514e-05,2303.0,67667605.0,3.403401080916045e-05,12232.0,40898878.0,0.000299079109211749,133966.0,38152134.0,0.0035113632175856795,75434.0,1000728.0,0.07537912399772966
MD,266424.0,6438922.0,0.04137711250423596,706496.0,10048440.0,0.07030902309214167,619846.0,7391850.0,0.08385532715084856,95310.0,2794230.0,0.03410957580442555,968138.0,8984065.530240001,0.10776168058228056,64460.0,10055758.0,0.006410257685198868,2722264.0,8984109.84427,0.30300876182365916,55221.0,11992854.0,0.004604491974971096,41848.0,59960492.0,0.0006979262278234809,6626.0,82003000.0,8.080192188090679e-05,6555.0,59861827.0,0.00010950217072392394,11152.0,36150050.0,0.0003084919661245282,136952.0,33984132.0,0.004029880769060102,88472.0,1019872.0,0.08674814094317718
ME,45914.0,1400204.0,0.032790936177871224,211472.0,2093766.0,0.1010007804119467,188438.0,1596884.0,0.11800356193687206,25114.0,524550.0,0.04787722810027643,207548.0,2083713.80042,0.09960484974384004,2887.0,2259419.0,0.0012777621149507904,611962.0,2079212.2179000005,0.2943239726717652,3290.5,2661568.0,0.0012363013081010893,10906.0,13310210.0,0.0008193709941465987,286.0,15762540.0,1.814428385272932e-05,1460.0,13310210.0,0.00010969023028186633,2092.0,7993428.0,0.000261714998871573,35654.0,7359090.0,0.004844892507089871,12422.0,177046.0,0.07016255662370231
MI,453088.0,9767642.0,0.04638663046823378,1038380.0,16264032.0,0.06384517689094561,912840.0,11971012.0,0.076254204740585,139408.0,4529820.0,0.030775615808133656,1582580.0,14886517.86337799,0.1063096161590127,28980.0,16420705.0,0.00176484505385122,4723414.0,14882288.271590002,0.3173849285675312,87776.0,19761754.5,0.004441710881490811,71530.0,99237372.0,0.0007207969997432016,8553.0,126631985.0,6.754217743645099e-05,11549.0,98310427.0,0.00011747482288933604,13954.0,58822518.0,0.00023722207879642282,259446.0,55581716.0,0.004667829974878789,133978.0,1584709.0,0.08454422862493997
MN,211536.0,6127216.0,0.03452399915393876,441070.0,9204654.0,0.047918150970150536,362006.0,6665918.0,0.05430699867595131,85744.0,2663566.0,0.03219143058591377,662410.0,8108621.438185998,0.08169206135096,15106.0,8728540.0,0.0017306445293256375,2236964.0,8118728.596156001,0.2755313191598919,25663.5,10976755.5,0.002337985937647969,34938.0,54927410.0,0.0006360758681321402,1460.0,62424370.0,2.338830171614067e-05,4013.0,52387375.0,7.66024256798513e-05,3806.0,30779437.0,0.00012365398366448354,100312.0,31010660.0,0.003234758628162058,63220.0,967431.0,0.06534832975168255
MO,229186.0,6101450.0,0.03756254660777356,1052700.0,9940930.0,0.1058955248653798,928738.0,7230876.0,0.1284405928133742,138000.0,2849000.0,0.048438048438048435,1070156.0,9061661.369518002,0.11809710784380398,23587.0,9979468.0,0.0023635528467048543,2913804.0,9060456.235846002,0.32159572588321533,58245.5,12039584.5,0.004837833066415207,50490.0,60795928.0,0.0008304832521020158,6561.0,76221665.0,8.607788874724791e-05,10548.0,59203549.0,0.0001781649948046189,7383.0,34210426.0,0.00021581140205620357,167044.0,34064990.0,0.004903685572783083,86114.0,1048004.0,0.08216953370406983
